t,st,rps_all,rps_solar,rps_wind
2010,AZ,0.014700,0,0
2011,AZ,0.017574,0,0
2012,AZ,0.020747,0,0
2013,AZ,0.023508,0,0
2014,AZ,0.026211,0,0
2015,AZ,0.029495,0,0
2016,AZ,0.035243,0,0
2017,AZ,0.041007,0,0
2018,AZ,0.046557,0,0
2019,AZ,0.051433,0,0
2020,AZ,0.058734,0,0
2021,AZ,0.064620,0,0
2022,AZ,0.070590,0,0
2023,AZ,0.076542,0,0
2024,AZ,0.082425,0,0
2025,AZ,0.088313,0,0
2026,AZ,0,0,0
2027,AZ,0,0,0
2028,AZ,0,0,0
2029,AZ,0,0,0
2030,AZ,0,0,0
2031,AZ,0,0,0
2032,AZ,0,0,0
2033,AZ,0,0,0
2034,AZ,0,0,0
2035,AZ,0,0,0
2036,AZ,0,0,0
2037,AZ,0,0,0
2038,AZ,0,0,0
2039,AZ,0,0,0
2040,AZ,0,0,0
2041,AZ,0,0,0
2042,AZ,0,0,0
2043,AZ,0,0,0
2044,AZ,0,0,0
2045,AZ,0,0,0
2046,AZ,0,0,0
2047,AZ,0,0,0
2048,AZ,0,0,0
2049,AZ,0,0,0
2050,AZ,0,0,0
2010,CA,0.168775,0,0
2011,CA,0.197283,0,0
2012,CA,0.197325,0,0
2013,CA,0.197242,0,0
2014,CA,0.208537,0,0
2015,CA,0.220868,0,0
2016,CA,0.245039,0,0
2017,CA,0.263927,0,0
2018,CA,0.283753,0,0
2019,CA,0.302047,0,0
2020,CA,0.319335,0,0
2021,CA,0.346564,0,0
2022,CA,0.373687,0,0
2023,CA,0.399432,0,0
2024,CA,0.424969,0,0
2025,CA,0.453957,0,0
2026,CA,0.475200,0,0
2027,CA,0.502257,0,0
2028,CA,0.527366,0,0
2029,CA,0.552474,0,0
2030,CA,0.579513,0,0
2031,CA,0.579507,0,0
2032,CA,0.579500,0,0
2033,CA,0.579493,0,0
2034,CA,0.579485,0,0
2035,CA,0.579478,0,0
2036,CA,0.579472,0,0
2037,CA,0.579467,0,0
2038,CA,0.579464,0,0
2039,CA,0.579459,0,0
2040,CA,0.579456,0,0
2041,CA,0.579453,0,0
2042,CA,0.579451,0,0
2043,CA,0.579450,0,0
2044,CA,0.579449,0,0
2045,CA,0.579448,0,0
2046,CA,0.579448,0,0
2047,CA,0.579447,0,0
2048,CA,0.579448,0,0
2049,CA,0.579448,0,0
2050,CA,0.579449,0,0
2010,CO,0.024734,0,0
2011,CO,0.061340,0,0
2012,CO,0.062494,0,0
2013,CO,0.062821,0,0
2014,CO,0.062680,0,0
2015,CO,0.107166,0,0
2016,CO,0.106583,0,0
2017,CO,0.106267,0,0
2018,CO,0.106865,0,0
2019,CO,0.104952,0,0
2020,CO,0.194092,0,0
2021,CO,0.194082,0,0
2022,CO,0.195018,0,0
2023,CO,0.193968,0,0
2024,CO,0.196129,0,0
2025,CO,0.195995,0,0
2026,CO,0.197119,0,0
2027,CO,0.197265,0,0
2028,CO,0.197907,0,0
2029,CO,0.198554,0,0
2030,CO,0.199277,0,0
2031,CO,0.200113,0,0
2032,CO,0.200997,0,0
2033,CO,0.201872,0,0
2034,CO,0.203025,0,0
2035,CO,0.204033,0,0
2036,CO,0.205016,0,0
2037,CO,0.205916,0,0
2038,CO,0.206432,0,0
2039,CO,0.207151,0,0
2040,CO,0.207829,0,0
2041,CO,0.208488,0,0
2042,CO,0.209103,0,0
2043,CO,0.209667,0,0
2044,CO,0.210188,0,0
2045,CO,0.210689,0,0
2046,CO,0.211163,0,0
2047,CO,0.211598,0,0
2048,CO,0.211997,0,0
2049,CO,0.212360,0,0
2050,CO,0.212707,0,0
2010,CT,0.100000,0,0
2011,CT,0.110000,0,0
2012,CT,0.120000,0,0
2013,CT,0.129997,0,0
2014,CT,0.140000,0,0
2015,CT,0.155000,0,0
2016,CT,0.170000,0,0
2017,CT,0.185000,0,0
2018,CT,0.210000,0,0
2019,CT,0.235000,0,0
2020,CT,0.250000,0,0
2021,CT,0.265000,0,0
2022,CT,0.280000,0,0
2023,CT,0.300000,0,0
2024,CT,0.320000,0,0
2025,CT,0.340000,0,0
2026,CT,0.290000,0,0
2027,CT,0.300000,0,0
2028,CT,0.310000,0,0
2029,CT,0.320000,0,0
2030,CT,0.330000,0,0
2031,CT,0.330000,0,0
2032,CT,0.330000,0,0
2033,CT,0.330000,0,0
2034,CT,0.330000,0,0
2035,CT,0.330000,0,0
2036,CT,0.330000,0,0
2037,CT,0.330000,0,0
2038,CT,0.330000,0,0
2039,CT,0.330000,0,0
2040,CT,0.330000,0,0
2041,CT,0.330000,0,0
2042,CT,0.330000,0,0
2043,CT,0.330000,0,0
2044,CT,0.330000,0,0
2045,CT,0.330000,0,0
2046,CT,0.330000,0,0
2047,CT,0.330000,0,0
2048,CT,0.330000,0,0
2049,CT,0.330000,0,0
2050,CT,0.330000,0,0
2010,DE,0.023866,0.000084,0
2011,DE,0.033086,0.000110,0
2012,DE,0.045048,0.001192,0
2013,DE,0.056202,0.002453,0
2014,DE,0.064578,0.004690,0
2015,DE,0.067331,0.006755,0
2016,DE,0.080707,0.008813,0
2017,DE,0.093860,0.010817,0
2018,DE,0.099182,0.012008,0
2019,DE,0.124275,0.015208,0
2020,DE,0.138576,0.017433,0
2021,DE,0.135954,0.018334,0
2022,DE,0.150740,0.020896,0
2023,DE,0.173230,0.024387,0
2024,DE,0.167294,0.024800,0
2025,DE,0.177710,0.027126,0
2026,DE,0.187661,0.029281,0
2027,DE,0.196600,0.032029,0
2028,DE,0.198008,0.033681,0
2029,DE,0.202283,0.035710,0
2030,DE,0.207301,0.037857,0
2031,DE,0.217036,0.042185,0
2032,DE,0.233126,0.048548,0
2033,DE,0.250662,0.055126,0
2034,DE,0.268054,0.061644,0
2035,DE,0.295003,0.069961,0
2036,DE,0.322200,0.083445,0
2037,DE,0.323222,0.083561,0
2038,DE,0.325598,0.084040,0
2039,DE,0.324328,0.083626,0
2040,DE,0.325351,0.083765,0
2041,DE,0.326109,0.083850,0
2042,DE,0.327175,0.084023,0
2043,DE,0.327890,0.084123,0
2044,DE,0.328701,0.084257,0
2045,DE,0.329001,0.084272,0
2046,DE,0.329227,0.084270,0
2047,DE,0.329996,0.084407,0
2048,DE,0.330445,0.084475,0
2049,DE,0.331010,0.084578,0
2050,DE,0.330995,0.084542,0
2010,IA,0.006509,0,0
2011,IA,0.006479,0,0
2012,IA,0.006471,0,0
2013,IA,0.006326,0,0
2014,IA,0.006267,0,0
2015,IA,0.006274,0,0
2016,IA,0.006108,0,0
2017,IA,0.006046,0,0
2018,IA,0.005776,0,0
2019,IA,0.005795,0,0
2020,IA,0.005841,0,0
2021,IA,0.005592,0,0
2022,IA,0.005457,0,0
