i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
battery_li,2010,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2011,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2012,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2013,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2014,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2015,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2016,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2017,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2018,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2019,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2020,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2021,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2022,363.01,390.93,9.08,9.77,0.0,0.85
battery_li,2023,451.2391934197174,292.22862653853673,11.277617683713295,7.31027858373579,0.0,0.85
